b1	r1
0.416	0.239
0.415	0.235
0.415	0.235
0.415	0.235
0.415	0.235
0.415	0.235
0.418	0.243
0.418	0.243
0.418	0.243
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.414	0.244
0.414	0.244
0.414	0.244
0.413	0.241
0.413	0.241
0.413	0.238
0.422	0.232
0.417	0.241
0.414	0.239
0.414	0.239
0.418	0.233
0.417	0.239
0.417	0.239
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.416	0.237
0.416	0.237
0.422	0.228
0.422	0.228
0.422	0.228
0.422	0.228
0.419	0.234
0.419	0.234
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.417	0.241
0.417	0.241
0.417	0.241
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.42	0.235
0.42	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.416	0.237
0.416	0.237
0.423	0.231
0.423	0.231
0.423	0.231
0.423	0.231
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.421	0.229
0.417	0.234
0.418	0.237
0.417	0.238
0.417	0.238
0.417	0.238
0.415	0.24
0.416	0.24
0.416	0.24
0.416	0.24
0.418	0.243
0.418	0.233
0.418	0.233
0.42	0.234
0.42	0.234
0.42	0.234
0.418	0.238
0.418	0.241
0.417	0.236
0.417	0.236
0.417	0.236
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.415	0.247
0.415	0.247
0.413	0.239
0.413	0.239
0.413	0.239
0.413	0.239
0.414	0.24
0.414	0.24
0.414	0.24
0.414	0.24
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.419	0.231
0.419	0.231
0.412	0.245
0.412	0.245
0.412	0.245
0.412	0.245
0.415	0.234
0.415	0.234
0.421	0.233
0.421	0.233
0.421	0.233
0.417	0.236
0.42	0.232
0.416	0.237
0.416	0.237
0.418	0.235
0.418	0.233
0.421	0.233
0.421	0.233
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.416	0.239
0.415	0.238
0.415	0.238
0.416	0.239
0.413	0.24
0.413	0.24
0.421	0.232
0.421	0.232
0.421	0.232
0.414	0.247
0.416	0.236
0.416	0.236
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.42	0.231
0.42	0.231
0.42	0.231
0.42	0.231
0.42	0.231
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.415	0.237
0.421	0.239
0.421	0.239
0.421	0.238
0.421	0.238
0.421	0.238
0.421	0.238
0.421	0.238
0.419	0.236
0.418	0.241
0.418	0.241
0.418	0.241
0.417	0.239
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.413	0.249
0.413	0.249
0.419	0.239
0.419	0.239
0.419	0.236
0.419	0.236
0.416	0.241
0.416	0.241
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.422	0.236
0.417	0.231
0.417	0.231
0.417	0.231
0.415	0.243
0.415	0.243
0.415	0.243
0.417	0.243
0.418	0.245
0.417	0.236
0.417	0.236
0.417	0.236
0.418	0.241
0.418	0.241
0.416	0.236
0.416	0.236
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.415	0.24
0.415	0.24
0.415	0.24
0.42	0.236
0.42	0.236
0.416	0.246
0.421	0.233
0.421	0.233
0.416	0.243
0.416	0.243
0.416	0.243
0.416	0.243
0.416	0.243
0.416	0.243
0.422	0.235
0.415	0.245
0.415	0.245
0.421	0.233
0.421	0.233
0.421	0.233
0.421	0.233
0.419	0.238
0.419	0.238
0.418	0.242
0.417	0.235
0.417	0.235
0.418	0.237
0.418	0.237
0.42	0.23
0.42	0.23
0.413	0.239
0.413	0.239
0.413	0.239
0.413	0.239
0.413	0.239
0.413	0.239
0.418	0.234
0.418	0.234
0.418	0.239
0.421	0.232
0.421	0.232
0.416	0.237
0.419	0.23
0.417	0.233
0.417	0.233
0.417	0.233
0.42	0.24
0.42	0.24
0.42	0.24
0.42	0.24
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.421	0.24
0.416	0.242
0.416	0.242
0.42	0.233
0.42	0.233
0.42	0.233
0.416	0.241
0.416	0.241
0.416	0.241
0.421	0.232
0.421	0.232
0.421	0.232
0.42	0.234
0.42	0.235
0.42	0.235
0.418	0.238
0.423	0.233
0.423	0.233
0.423	0.233
0.423	0.233
0.414	0.24
0.414	0.24
0.414	0.24
0.414	0.24
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.416	0.238
0.416	0.238
0.416	0.238
0.415	0.243
0.415	0.243
0.416	0.237
0.416	0.237
0.418	0.232
0.418	0.232
0.416	0.234
0.416	0.234
0.416	0.234
0.416	0.234
0.416	0.234
0.414	0.243
0.417	0.233
0.417	0.233
0.414	0.246
0.418	0.233
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.42	0.228
0.414	0.245
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.416	0.244
0.421	0.234
0.416	0.23
0.416	0.23
0.416	0.239
0.42	0.238
0.42	0.238
0.42	0.238
0.42	0.238
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.418	0.233
0.418	0.233
0.419	0.237
0.416	0.242
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.422	0.227
0.422	0.227
0.422	0.227
0.42	0.234
0.42	0.234
0.42	0.234
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.423	0.229
0.423	0.229
0.423	0.229
0.423	0.229
0.423	0.229
0.42	0.235
0.419	0.233
0.419	0.233
0.419	0.233
0.415	0.236
0.415	0.236
0.415	0.236
0.424	0.226
0.424	0.226
0.417	0.238
0.417	0.238
0.417	0.238
0.421	0.233
0.421	0.233
0.418	0.241
0.418	0.241
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.42	0.236
0.42	0.236
0.42	0.239
0.42	0.239
0.42	0.239
0.42	0.239
0.42	0.239
0.419	0.236
0.419	0.236
0.419	0.236
0.421	0.232
0.421	0.232
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.42	0.233
0.42	0.235
0.42	0.235
0.416	0.241
0.416	0.241
0.422	0.236
0.417	0.239
0.417	0.239
0.417	0.239
0.417	0.239
0.414	0.247
0.412	0.247
0.412	0.247
0.412	0.247
0.416	0.242
0.416	0.242
0.42	0.236
0.42	0.236
0.42	0.236
0.418	0.242
0.418	0.242
0.419	0.235
0.419	0.235
0.419	0.235
0.418	0.245
0.418	0.245
0.418	0.245
0.414	0.246
0.419	0.23
0.419	0.242
0.419	0.242
0.419	0.242
0.419	0.242
0.419	0.242
0.419	0.242
0.416	0.244
0.415	0.243
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.418	0.24
0.42	0.229
0.42	0.229
0.422	0.235
0.41	0.244
0.41	0.244
0.41	0.244
0.41	0.244
0.415	0.236
0.415	0.236
0.415	0.236
0.415	0.236
0.415	0.236
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.422	0.236
0.422	0.236
0.413	0.246
0.413	0.246
0.413	0.246
0.413	0.246
0.413	0.246
0.417	0.241
0.413	0.243
0.413	0.243
0.416	0.242
0.416	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.415	0.242
0.419	0.233
0.418	0.241
0.415	0.24
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.421	0.233
0.419	0.228
0.419	0.232
0.419	0.232
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.419	0.237
0.417	0.239
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.425	0.231
0.425	0.231
0.425	0.231
0.425	0.231
0.425	0.231
0.425	0.231
0.425	0.231
0.414	0.24
0.423	0.231
0.423	0.231
0.422	0.228
0.422	0.228
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.421	0.23
0.418	0.233
0.418	0.233
0.424	0.232
0.424	0.232
0.424	0.232
0.424	0.232
0.424	0.232
0.424	0.227
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.415	0.243
0.415	0.243
0.418	0.234
0.418	0.234
0.413	0.246
0.413	0.246
0.417	0.239
0.417	0.239
0.419	0.234
0.418	0.239
0.417	0.239
0.417	0.239
0.417	0.239
0.42	0.232
0.42	0.232
0.413	0.239
0.421	0.237
0.421	0.237
0.421	0.237
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.423	0.235
0.423	0.235
0.415	0.236
0.415	0.236
0.422	0.228
0.422	0.228
0.417	0.235
0.416	0.24
0.416	0.24
0.416	0.24
0.419	0.232
0.419	0.232
0.419	0.232
0.419	0.232
0.422	0.237
0.419	0.241
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.413	0.243
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.419	0.231
0.412	0.241
0.421	0.231
0.421	0.224
0.421	0.224
0.421	0.224
0.421	0.224
0.416	0.242
0.416	0.242
0.416	0.242
0.416	0.242
0.414	0.237
0.414	0.237
0.414	0.237
0.419	0.234
0.419	0.234
0.413	0.242
0.413	0.242
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.417	0.233
0.416	0.235
0.416	0.235
0.416	0.235
0.416	0.235
0.417	0.242
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.414	0.24
0.414	0.24
0.414	0.24
0.414	0.243
0.414	0.243
0.414	0.243
0.414	0.243
0.414	0.243
0.414	0.243
0.416	0.234
0.416	0.234
0.42	0.231
0.42	0.231
0.42	0.231
0.42	0.231
0.417	0.236
0.417	0.236
0.417	0.236
0.417	0.241
0.417	0.241
0.417	0.241
0.418	0.24
0.418	0.24
0.418	0.24
0.418	0.24
0.418	0.24
0.418	0.24
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.42	0.242
0.42	0.242
0.42	0.242
0.42	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.414	0.235
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.416	0.246
0.416	0.246
0.416	0.246
0.419	0.24
0.413	0.24
0.418	0.239
0.418	0.241
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.419	0.235
0.419	0.235
0.419	0.235
0.419	0.233
0.416	0.246
0.416	0.246
0.416	0.246
0.416	0.239
0.419	0.24
0.419	0.24
0.423	0.229
0.418	0.236
0.418	0.236
0.418	0.236
0.419	0.239
0.42	0.235
0.423	0.228
0.423	0.228
0.423	0.228
0.424	0.225
0.424	0.225
0.424	0.225
0.424	0.225
0.424	0.225
0.424	0.225
0.424	0.225
0.424	0.225
0.419	0.237
0.421	0.231
0.421	0.231
0.419	0.24
0.413	0.242
0.413	0.242
0.413	0.242
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.415	0.24
0.417	0.237
0.417	0.237
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.419	0.24
0.417	0.235
0.415	0.241
0.415	0.241
0.416	0.243
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.229
0.417	0.23
0.417	0.23
0.417	0.23
0.413	0.245
0.413	0.245
0.42	0.231
0.42	0.231
0.42	0.231
0.42	0.235
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.419	0.235
0.422	0.231
0.422	0.231
0.422	0.231
0.422	0.231
0.422	0.231
0.422	0.231
0.417	0.239
0.418	0.245
0.418	0.245
0.418	0.245
0.418	0.245
0.418	0.245
0.418	0.245
0.418	0.245
0.418	0.245
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.419	0.235
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.416	0.236
0.416	0.236
0.418	0.24
0.417	0.229
0.417	0.229
0.417	0.229
0.417	0.229
0.421	0.229
0.418	0.238
0.418	0.238
0.418	0.238
0.416	0.24
0.424	0.23
0.417	0.239
0.417	0.239
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.415	0.238
0.417	0.234
0.415	0.241
0.418	0.24
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.231
0.414	0.24
0.419	0.23
0.419	0.23
0.419	0.23
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.421	0.235
0.416	0.234
0.423	0.229
0.423	0.229
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.417	0.241
0.419	0.235
0.419	0.235
0.419	0.235
0.419	0.235
0.419	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.418	0.235
0.419	0.238
0.419	0.238
0.419	0.238
0.419	0.24
0.419	0.24
0.419	0.24
0.416	0.243
0.416	0.243
0.416	0.243
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.413	0.245
0.42	0.236
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.418	0.238
0.417	0.242
0.422	0.225
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.418	0.234
0.418	0.234
0.416	0.237
0.416	0.237
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.42	0.241
0.418	0.231
0.418	0.231
0.418	0.231
0.418	0.234
0.418	0.234
0.416	0.237
0.416	0.24
0.416	0.24
0.417	0.24
0.417	0.24
0.411	0.248
0.414	0.244
0.414	0.244
0.414	0.244
0.414	0.244
0.414	0.244
0.414	0.243
0.414	0.243
0.414	0.243
0.414	0.243
0.414	0.243
0.421	0.233
0.421	0.233
0.421	0.233
0.414	0.241
0.414	0.241
0.42	0.238
0.422	0.233
0.422	0.233
0.421	0.232
0.421	0.232
0.417	0.237
0.417	0.237
0.42	0.234
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.421	0.231
0.421	0.231
0.421	0.231
0.421	0.231
0.421	0.231
0.418	0.234
0.418	0.234
0.415	0.239
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.421	0.233
0.421	0.231
0.421	0.231
0.421	0.231
0.421	0.231
0.421	0.231
0.421	0.231
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.417	0.245
0.417	0.245
0.417	0.245
0.425	0.223
0.425	0.223
0.415	0.24
0.415	0.24
0.415	0.24
0.419	0.237
0.415	0.243
0.412	0.237
0.419	0.235
0.419	0.235
0.419	0.235
0.414	0.245
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.423	0.23
0.421	0.236
0.421	0.236
0.421	0.236
0.423	0.224
0.417	0.237
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.422	0.23
0.417	0.232
0.417	0.232
0.417	0.232
0.421	0.243
0.418	0.235
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.417	0.237
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.238
0.419	0.239
0.419	0.239
0.419	0.239
0.415	0.238
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.419	0.24
0.416	0.236
0.414	0.242
0.414	0.242
0.417	0.242
0.417	0.242
0.417	0.242
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.236
0.421	0.231
0.421	0.231
0.417	0.238
0.418	0.233
0.424	0.229
0.419	0.234
0.42	0.234
0.42	0.234
0.42	0.234
0.417	0.24
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.423	0.228
0.417	0.244
0.415	0.237
0.415	0.237
0.415	0.237
0.413	0.237
0.413	0.237
0.413	0.237
0.424	0.228
0.424	0.228
0.417	0.235
0.418	0.237
0.418	0.237
0.419	0.238
0.419	0.238
0.419	0.238
0.419	0.238
0.419	0.238
0.419	0.238
0.418	0.235
0.418	0.235
0.416	0.24
0.416	0.24
0.418	0.234
0.418	0.234
0.418	0.234
0.418	0.234
0.414	0.238
0.418	0.236
0.418	0.236
0.418	0.236
0.417	0.239
0.415	0.24
0.421	0.237
0.421	0.237
0.415	0.234
0.415	0.234
0.415	0.234
0.415	0.234
0.415	0.234
0.415	0.243
0.417	0.238
0.417	0.238
0.417	0.238
0.417	0.233
0.415	0.238
0.418	0.24
0.418	0.24
0.418	0.24
0.418	0.24
0.419	0.233
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.239
0.415	0.239
0.415	0.243
0.415	0.243
0.42	0.236
0.414	0.237
0.414	0.237
0.415	0.244
0.415	0.244
0.415	0.244
0.42	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.422	0.233
0.416	0.235
0.416	0.235
0.423	0.231
0.423	0.231
0.416	0.234
0.42	0.238
0.42	0.238
0.42	0.238
0.421	0.233
0.421	0.233
0.421	0.233
0.421	0.233
0.421	0.233
0.415	0.23
0.418	0.23
0.418	0.23
0.418	0.23
0.418	0.23
0.418	0.23
0.413	0.241
0.418	0.239
0.418	0.239
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.419	0.237
0.42	0.241
0.42	0.241
0.42	0.241
0.415	0.237
0.415	0.237
0.415	0.237
0.415	0.237
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.415	0.242
0.415	0.242
0.415	0.242
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.239
0.42	0.239
0.42	0.239
0.42	0.239
0.42	0.239
0.42	0.239
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.419	0.233
0.42	0.235
0.42	0.235
0.418	0.24
0.418	0.24
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.235
0.417	0.235
0.417	0.243
0.42	0.237
0.42	0.237
0.415	0.241
0.415	0.241
0.415	0.241
0.415	0.241
0.415	0.241
0.415	0.241
0.415	0.241
0.415	0.241
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.418	0.24
0.418	0.24
0.418	0.24
0.42	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.42	0.232
0.42	0.232
0.42	0.232
0.42	0.232
0.42	0.232
0.42	0.232
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.419	0.239
0.414	0.244
0.414	0.244
0.414	0.244
0.416	0.237
0.416	0.237
0.418	0.231
0.418	0.231
0.418	0.231
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.421	0.236
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.416	0.245
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.417	0.237
0.417	0.237
0.418	0.234
0.418	0.234
0.418	0.234
0.418	0.234
0.418	0.234
0.423	0.227
0.42	0.233
0.42	0.233
0.417	0.234
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.237
0.418	0.24
0.418	0.24
0.418	0.24
0.421	0.233
0.427	0.229
0.427	0.229
0.427	0.229
0.427	0.229
0.427	0.229
0.427	0.229
0.427	0.229
0.421	0.236
0.418	0.236
0.416	0.237
0.419	0.23
0.419	0.23
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.418	0.238
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.417	0.232
0.417	0.232
0.417	0.232
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.422	0.228
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.418	0.229
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.419	0.236
0.419	0.236
0.419	0.236
0.423	0.233
0.423	0.233
0.423	0.233
0.419	0.229
0.414	0.243
0.417	0.237
0.417	0.237
0.417	0.237
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.42	0.23
0.414	0.241
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.419	0.235
0.419	0.235
0.419	0.235
0.419	0.231
0.413	0.246
0.418	0.236
0.42	0.233
0.417	0.237
0.417	0.237
0.417	0.237
0.412	0.244
0.412	0.244
0.412	0.244
0.414	0.241
0.419	0.231
0.423	0.235
0.423	0.235
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.417	0.238
0.417	0.238
0.419	0.238
0.419	0.238
0.419	0.238
0.422	0.234
0.422	0.234
0.422	0.234
0.422	0.234
0.421	0.23
0.421	0.23
0.413	0.242
0.416	0.247
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.418	0.237
0.42	0.232
0.42	0.232
0.421	0.239
0.421	0.239
0.421	0.239
0.423	0.231
0.423	0.231
0.423	0.231
0.419	0.236
0.423	0.234
0.419	0.238
0.419	0.238
0.417	0.24
0.417	0.24
0.417	0.24
0.418	0.238
0.418	0.238
0.415	0.235
0.418	0.233
0.417	0.242
0.417	0.242
0.417	0.242
0.417	0.242
0.417	0.242
0.417	0.242
0.419	0.236
0.419	0.236
0.419	0.236
0.419	0.236
0.42	0.23
0.418	0.24
0.416	0.241
0.416	0.241
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.417	0.239
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.416	0.236
0.418	0.235
0.415	0.244
0.415	0.244
0.419	0.238
0.419	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.417	0.236
0.417	0.236
0.418	0.229
0.422	0.229
0.42	0.234
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.417	0.241
0.416	0.236
0.416	0.236
0.417	0.238
0.417	0.238
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.412	0.24
0.412	0.24
0.421	0.228
0.419	0.237
0.419	0.237
0.416	0.244
0.416	0.244
0.421	0.232
0.417	0.237
0.418	0.233
0.415	0.245
0.415	0.245
0.415	0.245
0.415	0.245
0.417	0.236
0.417	0.236
0.417	0.236
0.419	0.24
0.419	0.24
0.414	0.248
0.414	0.248
0.414	0.248
0.414	0.248
0.418	0.236
0.418	0.236
0.418	0.236
0.421	0.232
0.421	0.232
0.421	0.232
0.421	0.232
0.419	0.241
0.419	0.241
0.421	0.234
0.421	0.234
0.421	0.228
0.414	0.242
0.422	0.234
0.422	0.234
0.422	0.234
0.419	0.234
0.419	0.234
0.419	0.234
0.419	0.234
0.419	0.234
0.419	0.234
0.417	0.235
0.417	0.232
0.417	0.232
0.417	0.232
0.417	0.232
0.417	0.232
0.421	0.236
0.422	0.231
0.414	0.243
0.418	0.24
0.418	0.24
0.417	0.238
0.414	0.239
0.414	0.239
0.414	0.239
0.414	0.239
0.414	0.239
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.418	0.234
0.418	0.234
0.418	0.234
0.418	0.234
0.418	0.234
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.419	0.241
0.419	0.241
0.419	0.241
0.419	0.241
0.421	0.233
0.414	0.245
0.414	0.245
0.414	0.245
0.417	0.245
0.417	0.245
0.417	0.245
0.42	0.226
0.42	0.226
0.42	0.226
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.414	0.248
0.417	0.232
0.417	0.232
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.243
0.417	0.237
0.417	0.237
0.417	0.237
0.417	0.237
